Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Linda,Lapointe,Rivière-des-Mille-Îles,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Guy,Lauzon,Stormont—Dundas—South Glengarry,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Hélène,Laverdière,Laurier—Sainte-Marie,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Denis,Lebel,Lac-Saint-Jean,Quebec,Conservative,2015-10-19 12:00:00 AM,2017-08-09 10:35:32 AM
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Paul,Lefebvre,Sudbury,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,K. Kellie,Leitch,Simcoe—Grey,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Denis,Lemieux,Chicoutimi—Le Fjord,Quebec,Liberal,2015-10-19 12:00:00 AM,2017-12-01 11:59:00 PM
Hon.,Andrew,Leslie,Orléans,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Michael,Levitt,York Centre,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2017-10-23 12:00:00 AM,2019-10-20 11:59:59 PM
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Alaina,Lockhart,Fundy Royal,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Lloyd,Longfield,Guelph,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Karen,Ludwig,New Brunswick Southwest,New Brunswick,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
